Distance,0,1,150,300,400,500,650,800,1000,1250,1500,1750,2000,3000,more
0,0,0,0,0,0,0,0,0,10,8,0,0,0,3,0
0.5,0,0,0,0,0,0,4,12,11,8,14,8,11,11,13
1,0,0,0,0,0,0,5,3,3,9,8,7,3,10,14
1.5,0,0,0,0,0,0,0,4,14,20,21,13,5,23,13
2,3,3,0,0,0,0,0,12,14,46,24,21,11,32,54
2.5,3,0,4,0,0,4,9,11,18,37,25,31,21,63,120
3,0,0,0,0,0,4,3,15,34,32,50,47,45,81,144
4,0,4,0,0,0,10,14,29,53,121,114,125,108,242,419
5,0,0,0,0,0,6,20,36,88,127,148,155,118,348,573
6,0,4,4,4,3,8,19,37,80,167,143,192,149,351,599
7,0,0,4,0,0,6,23,53,116,183,178,214,175,374,624
8,0,7,0,0,0,10,23,64,141,217,244,234,186,509,838
9,5,8,0,0,7,11,37,74,172,231,209,247,224,523,859
10,0,0,4,5,5,13,33,68,122,236,212,207,206,475,799
11,4,0,0,5,0,8,25,52,130,184,178,188,166,420,753
12,0,0,0,7,0,10,21,62,111,202,199,223,148,378,735
13,0,8,0,0,0,10,22,51,127,174,156,176,154,376,658
14,0,0,4,0,3,10,34,54,94,160,146,150,160,300,623
15,0,4,3,0,0,4,19,52,110,158,161,154,131,320,568
16,0,0,0,0,5,7,17,58,103,145,156,136,137,298,433
17,0,3,0,5,5,6,19,48,91,143,154,165,139,329,406
18,0,0,0,3,5,8,24,51,93,155,131,152,154,304,353
19,0,7,0,4,0,4,22,58,98,153,159,153,106,268,284
20,5,5,0,4,3,13,27,51,113,163,134,147,117,256,204
21,0,0,0,0,7,6,37,70,108,184,143,159,126,253,267
22,0,3,4,3,4,12,21,60,126,202,192,177,169,275,292
23,0,0,0,0,3,7,33,78,159,237,175,159,149,269,294
24,0,0,0,3,3,17,22,63,151,220,171,198,142,289,221
25,0,0,0,0,7,14,18,73,144,181,143,172,130,278,219
26,0,5,4,6,3,4,36,69,143,227,166,170,161,335,241
27,0,0,0,3,3,7,25,77,134,216,168,196,139,370,297
28,5,0,4,0,7,11,42,79,116,192,200,175,144,305,204
29,0,3,0,0,11,3,11,54,122,151,157,146,128,213,161
30,0,0,5,0,4,7,19,55,100,150,137,132,88,202,104
32,0,3,0,4,5,11,38,85,160,279,227,216,170,341,254
34,0,3,4,0,3,6,15,40,100,152,158,120,117,247,150
36,0,0,0,0,0,9,25,43,67,114,102,105,67,171,137
38,0,0,0,0,0,0,9,19,46,74,91,77,71,124,76
40,0,3,0,0,3,0,11,23,38,105,87,86,69,136,70
42,0,0,0,0,0,6,13,31,53,89,88,77,67,146,84
44,0,0,0,0,3,7,14,32,65,101,111,99,79,158,108
46,0,0,0,4,0,9,10,16,49,78,60,66,57,113,98
48,0,0,4,0,0,0,11,21,26,48,61,61,58,112,120
50,0,0,0,0,0,0,0,12,27,33,37,50,35,83,73
52,0,0,0,0,0,6,0,3,15,21,21,30,20,44,37
54,0,0,0,0,0,0,3,0,17,18,23,17,24,65,46
56,0,0,0,0,0,0,4,9,16,34,31,22,26,76,64
58,0,0,0,0,0,0,3,3,15,21,30,25,19,53,42
60,0,0,0,0,0,0,0,4,10,14,10,10,21,42,20
62,0,0,0,0,0,0,0,7,8,13,15,14,11,37,22
64,0,0,0,0,0,6,0,0,8,5,8,19,7,20,28
66,0,0,0,0,0,0,3,3,4,10,18,13,12,24,18
68,0,0,0,0,0,3,0,4,4,9,4,10,6,16,11
70,0,0,0,0,0,0,0,3,4,3,5,7,9,22,18
72,0,0,0,0,0,0,3,0,4,11,8,12,8,36,22
74,0,0,0,0,0,0,0,5,3,9,10,10,5,37,38
76,0,0,0,0,0,3,0,0,7,10,11,8,9,20,30
78,0,0,0,0,0,0,0,5,9,13,3,8,10,23,28
80,0,0,0,0,0,0,0,0,4,8,4,9,14,24,24
85,0,0,0,0,0,0,0,7,4,13,17,21,22,31,18
90,0,0,0,0,0,0,5,0,0,11,8,16,7,22,26
95,0,0,0,0,0,0,3,0,3,12,5,16,14,48,27
100,0,0,0,0,0,0,0,0,0,8,7,11,17,23,27
110,0,0,0,0,0,0,0,3,8,13,8,9,14,21,23
120,0,0,0,0,0,0,0,9,10,4,14,22,20,21,28
130,0,0,0,0,0,0,0,0,3,4,3,4,3,11,8
140,0,0,0,0,0,0,0,0,5,3,3,4,0,13,11
150,0,0,0,0,0,0,0,0,0,0,4,0,3,6,8
200,0,0,0,0,0,0,0,0,5,12,11,15,15,23,19
250,0,0,0,0,0,0,0,0,0,3,0,0,4,10,6
300,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0
350,0,0,0,0,0,0,0,0,0,0,0,0,4,8,6
400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,0,0,0,0,0,0,0,0,0,3,0,0,0,10,5
800,0,0,0,0,0,0,0,0,0,4,5,11,3,24,18
1000,0,0,0,0,3,0,0,0,5,20,11,18,8,15,25
3000,0,0,0,0,0,0,3,0,3,9,14,14,13,20,15
4000,0,0,0,0,0,0,0,0,0,4,4,6,4,16,7
NA,0,0,0,0,0,0,0,0,0,6,0,0,0,5,5