0,0,1,150,300,400,500,650,800,1000,1250,1500,1750,2000,3000,4000
0,53,143,93,236,503,767,1490,2224,3130,3937,2881,2501,1527,1935,1338
0.5,17,36,22,63,125,181,361,528,733,832,623,551,347,467,340
1,13,37,16,69,100,173,444,731,900,1005,681,554,378,468,388
1.5,20,53,32,62,146,243,572,1120,1465,1570,974,826,618,681,547
2,24,53,38,93,155,282,652,1369,1864,1887,1252,1109,748,949,728
2.5,16,39,47,78,168,313,774,1507,2080,2213,1532,1269,827,1031,911
3,23,54,47,83,182,284,759,1636,2304,2353,1598,1392,1030,1155,917
4,41,105,70,155,347,618,1594,3418,4958,5151,3579,3015,2134,2629,2132
5,40,103,71,138,331,632,1674,3625,5205,5650,3904,3164,2186,2937,2415
6,43,116,62,148,308,578,1628,3612,5274,5862,3991,3430,2302,3213,2436
7,31,86,52,117,291,549,1634,3791,5482,6007,4115,3361,2472,3221,2533
8,58,108,51,132,299,545,1525,3712,5511,6009,4282,3614,2508,3465,2807
9,33,92,46,112,261,508,1464,3603,5509,6030,4175,3585,2551,3459,2759
10,24,73,51,122,244,466,1404,3675,5456,6063,4336,3547,2574,3395,2637
11,25,70,51,92,240,469,1368,3434,5439,5952,4062,3493,2427,3390,2574
12,32,75,51,108,200,457,1227,3274,5093,5880,4132,3479,2296,3187,2446
13,31,73,41,83,196,398,1169,3027,4833,5714,3929,3134,2211,3183,2295
14,26,59,54,85,182,395,1083,2856,4600,5235,3795,3030,2149,2929,2170
15,18,43,42,87,163,320,1057,2568,4326,4836,3582,2873,2000,2868,2010
16,23,69,33,91,187,322,938,2440,4022,4656,3385,2676,1976,2777,1695
17,19,59,34,81,117,312,821,2331,3776,4343,3236,2627,1836,2596,1642
18,21,51,14,54,132,278,797,2138,3503,4102,2901,2426,1741,2422,1505
19,11,46,26,66,137,227,703,1959,3346,3976,2869,2342,1619,2314,1388
20,15,46,29,52,125,220,680,1802,3066,3636,2732,2203,1544,2193,1198
21,12,28,30,50,104,228,719,1700,2947,3498,2558,2152,1500,2107,1269
22,17,38,31,66,122,208,681,1639,2831,3410,2469,2095,1447,2125,1268
23,16,32,28,47,98,199,584,1617,2743,3322,2411,1968,1423,1955,1191
24,16,37,28,50,92,193,526,1503,2597,3103,2305,1867,1318,1894,1056
25,12,29,25,44,91,177,516,1493,2466,2940,2228,1850,1385,1861,986
26,15,33,23,43,84,177,510,1388,2417,2903,2216,1766,1285,1843,989
27,17,35,16,40,83,162,452,1279,2302,2759,2111,1793,1220,1769,950
28,12,38,20,35,64,123,446,1249,2004,2560,1937,1639,1172,1655,865
29,4,37,18,33,75,129,388,986,1953,2383,1684,1558,1058,1475,762
30,11,18,21,28,55,116,372,1003,1716,2131,1692,1421,964,1437,647
32,11,44,22,58,111,220,616,1621,3150,3932,2998,2548,1810,2492,1250
34,18,36,16,43,93,179,523,1407,2656,3257,2626,2099,1532,2130,1020
36,11,16,20,43,73,164,421,1279,2151,2720,2192,1784,1203,1766,836
38,8,24,15,42,63,111,405,974,1753,2372,1847,1561,1029,1560,730
40,5,24,15,31,55,109,295,790,1508,2039,1609,1320,1010,1357,567
42,11,10,5,23,48,107,250,726,1331,1754,1309,1123,893,1240,565
44,8,18,11,18,40,85,241,625,1085,1583,1254,1005,805,1170,531
46,5,8,11,20,30,64,200,474,992,1315,1073,945,711,1001,421
48,3,10,5,10,27,70,179,405,775,1026,889,766,602,841,456
50,5,9,4,13,19,42,138,333,634,941,722,636,476,716,289
52,3,8,0,9,23,28,110,235,461,694,590,502,379,600,226
54,7,10,7,9,10,34,88,202,408,518,490,430,345,482,213
56,0,4,3,3,15,22,85,175,326,472,457,389,260,460,191
58,7,7,4,6,8,18,66,172,294,423,365,314,220,382,180
60,0,0,0,5,17,18,47,98,240,326,312,279,198,297,134
62,4,3,0,0,7,20,42,116,169,259,240,221,176,242,117
64,0,4,4,0,7,11,42,93,154,233,193,181,100,258,114
66,0,3,3,0,9,12,33,78,127,208,201,159,127,231,79
68,0,4,0,0,7,8,32,62,125,176,160,163,132,171,84
70,0,3,3,0,3,6,22,54,95,140,141,119,84,132,75
72,0,0,0,4,5,9,21,33,93,131,111,112,74,110,73
74,0,0,0,3,3,5,11,44,75,116,108,78,80,129,82
76,0,0,0,0,4,10,15,34,69,102,72,85,54,102,56
78,0,0,0,0,6,5,14,35,57,87,67,75,58,87,44
80,0,0,0,0,0,7,14,25,50,82,68,56,37,89,39
85,0,6,5,5,7,7,26,54,99,142,125,127,103,158,104
90,0,5,5,6,8,8,20,44,81,126,92,78,65,110,78
95,0,0,0,0,5,0,17,32,67,82,61,73,70,95,32
100,0,0,0,0,4,0,20,37,54,59,73,51,35,83,32
110,0,0,0,0,3,7,25,46,71,101,106,83,72,92,60
120,0,0,3,0,3,3,10,29,41,60,59,44,39,58,36
130,0,0,0,5,0,4,5,24,26,51,41,34,30,42,37
140,0,0,0,0,4,6,9,17,46,40,34,23,29,29,20
150,0,0,0,0,4,0,4,20,25,38,22,17,16,31,35
200,0,0,6,11,6,12,23,45,75,98,77,77,64,94,96
250,0,0,0,0,0,9,12,22,42,70,44,34,38,78,60
300,0,4,0,0,4,0,23,36,35,59,31,28,22,40,33
350,0,0,3,0,5,3,9,17,18,31,19,24,20,24,19
400,0,0,0,0,0,0,4,10,14,11,8,10,9,10,7
600,0,0,0,0,7,4,9,21,34,31,35,34,15,20,34
800,0,6,5,3,3,7,8,24,46,60,60,75,48,88,102
1000,0,0,0,5,10,11,29,49,129,182,208,190,186,285,224
3000,0,5,3,3,5,10,31,61,103,141,122,100,89,162,124
5000,0,5,0,0,4,0,11,28,40,62,59,48,56,124,113